#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 16.48.02
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.627,35.187] °C
##Sample holder climate : relative humidity:	[38.428,33.845] %
##IR temperature [0]:	[23.33,46.49] °C
##Stage temperature:	[21.4165,53.7755] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.09732,50.0813
1.09604,50.045
1.09536,50.0523
1.09492,50.0544
1.09451,50.0581
1.0942,50.0611
1.09393,50.0634
1.09369,50.0677
1.09339,50.0718
1.09321,50.0693
1.09298,50.071
1.09276,50.0706
1.09256,50.0742
1.09236,50.0792
1.09221,50.0773
1.09202,50.0791
1.09183,50.0812
1.09166,50.0851
1.09151,50.0857
1.09138,50.084
1.09119,50.0861
1.09103,50.0895
1.09088,50.0938
1.09071,50.092
1.09059,50.0909
1.09044,50.0924
1.09031,50.0932
1.09017,50.0976
1.09002,50.094
1.08991,50.0975
1.08977,50.0974
1.08968,50.0991
1.08917,50.0072
1.08834,49.8287
1.08719,49.5586
1.08566,49.1927
1.08381,48.7434
1.08178,48.2448
1.07932,47.6526
1.07287,46.0699
1.06626,44.4584
1.05945,42.818
1.05249,41.1761
1.0448,39.404
1.03662,37.5578
1.0289,35.8671
1.02054,34.0638
1.01203,32.3095
1.00324,30.5436
0.994058,28.764
0.984093,26.9086
0.974148,25.134
0.96395,23.3894
0.952434,21.5325
0.940761,19.7444
0.928596,17.996
0.915322,16.2248
0.901499,14.5157
0.887078,12.8905
0.87129,11.2856
0.853803,9.69706
0.835917,8.28126
0.816476,6.94913
0.795591,5.74018
0.771564,4.59925
0.747465,3.66985
0.737805,3.34458
0.735774,3.27447
0.732368,3.16775
0.726592,2.99554
0.719272,2.79022
0.710216,2.55603
0.701994,2.35635
0.692062,2.1337
0.681255,1.91468
0.669378,1.68829
0.656889,1.47318
0.645316,1.29169
0.635485,1.14751
0.622932,0.979117
0.612021,0.845916
0.598372,0.690968
0.588832,0.58996
0.578635,0.492104
0.565649,0.376549
0.55772,0.310097
0.543993,0.204087
0.535369,0.143192
0.523727,0.069164
0.511877,-0.00227224
0.502327,-0.0534687
0.492932,-0.0996385
0.482624,-0.145603
0.472457,-0.187697
0.458205,-0.238235
0.45123,-0.262051
0.439922,-0.295608
0.428693,-0.325765
0.420854,-0.344462
0.408878,-0.370365
0.396657,-0.393543
0.388368,-0.407493
0.380267,-0.420906
0.367475,-0.43818
0.358803,-0.44891
0.345704,-0.463252
0.341171,-0.467782
0.327605,-0.480067
0.318843,-0.487094
0.305374,-0.497094
0.300586,-0.500304
0.285716,-0.508921
0.275998,-0.513995
0.266956,-0.51824
0.256815,-0.522496
0.247245,-0.526916
0.237193,-0.530462
0.222143,-0.535937
0.222473,-0.535594
0.202572,-0.541346
0.197674,-0.542376
0.187763,-0.545174
0.177651,-0.547723
0.1624,-0.551113
0.157594,-0.552109
0.147539,-0.554125
0.137362,-0.556105
0.127657,-0.558049
0.117623,-0.560031
0.102406,-0.562518
0.0973568,-0.56314
0.0874555,-0.564542
0.0771249,-0.566428
0.0672707,-0.567832
0.0570043,-0.569307
0.0470995,-0.570711
0.0317018,-0.573239
0.0319971,-0.573147
0.0118828,-0.575859
0.0068898,-0.576439
-0.00334368,-0.577882
-0.0132338,-0.579565
-0.0231881,-0.580339
-0.0319457,-0.581426
-0.0457573,-0.583386
