#ID:	1
#type:	Perform parallel JV
#start_time:	16/04/2025 17.35.39
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	1 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[33.42,30.245] °C
##Sample holder climate : relative humidity:	[30.249,31.615] %
##IR temperature [0]:	[35.67,31.91] °C
##Stage temperature:	[35.8809,30.7062] °C
##Light intensity:	[0,0] %
#
#voltage (V),current (mA)
1.0982,50.1495
1.0969,50.0683
1.09621,50.0745
1.09576,50.0763
1.0954,50.0768
1.09516,50.0827
1.09491,50.0845
1.09473,50.0853
1.09455,50.0902
1.0944,50.0879
1.09434,50.0874
1.09422,50.0904
1.09414,50.0877
1.09405,50.0893
1.09398,50.0899
1.0939,50.0893
1.09386,50.0897
1.09374,50.0872
1.09368,50.0877
1.09363,50.0884
1.09358,50.0903
1.09351,50.0892
1.09345,50.0887
1.09343,50.0891
1.09338,50.0898
1.0933,50.0906
1.09326,50.0887
1.09321,50.0897
1.0932,50.0898
1.09311,50.0874
1.09308,50.0892
1.09304,50.0903
1.09302,50.0886
1.09296,50.0886
1.09292,50.0879
1.09292,50.085
1.09286,50.088
1.0928,50.0877
1.0928,50.0857
1.09277,50.0897
1.09273,50.0886
1.09268,50.0869
1.09264,50.0896
1.09264,50.0863
1.09257,50.0875
1.09256,50.088
1.09255,50.0883
1.0925,50.0883
1.09248,50.0892
1.09249,50.0876
1.09243,50.0899
1.09239,50.0887
1.09242,50.0876
1.09239,50.0894
1.09233,50.0875
1.09233,50.0884
1.09231,50.0873
1.09228,50.0884
1.09225,50.0877
1.09222,50.0893
1.09224,50.09
1.09183,49.998
1.09145,49.9047
1.09093,49.7675
1.09005,49.542
1.08929,49.3597
1.08805,49.0421
1.08678,48.7244
1.08559,48.4047
1.08396,47.9994
1.08238,47.5909
1.08057,47.1334
1.07858,46.6349
1.07657,46.1373
1.07445,45.597
1.06838,44.1182
1.06215,42.6085
1.05623,41.1944
1.04967,39.6604
1.0428,38.0902
1.03639,36.6366
1.02989,35.2031
1.02345,33.8087
1.01654,32.3652
1.00986,30.9901
1.00327,29.665
0.996084,28.2757
0.98887,26.9122
0.981839,25.6161
0.974394,24.3045
0.967207,23.0694
0.959222,21.7547
0.951536,20.5302
0.943456,19.2998
0.935664,18.1593
0.92725,16.9941
0.918297,15.8059
0.909489,14.7146
0.900885,13.6885
0.892146,12.706
0.884018,11.8433
0.878781,11.3101
0.873822,10.8205
0.873545,10.7757
0.872796,10.6827
0.871448,10.5489
0.870128,10.4165
0.867787,10.1951
0.865415,9.9742
0.862943,9.75116
0.859418,9.44473
0.856381,9.18334
0.852837,8.89563
0.849335,8.61073
0.845017,8.28095
0.841284,7.99652
0.836768,7.67218
0.831543,7.3075
0.826672,6.9876
0.82166,6.67038
0.816356,6.34522
0.809897,5.98021
0.804043,5.66034
0.798613,5.37816
0.792145,5.06283
0.786219,4.78922
0.779077,4.47816
0.77254,4.21138
0.765688,3.94923
0.759666,3.73529
0.753312,3.51773
0.746731,3.30754
0.740908,3.13115
0.734936,2.95931
0.727341,2.75691
0.722217,2.62503
0.715337,2.46073
0.70812,2.29717
0.702272,2.17212
0.697637,2.07673
0.691377,1.95459
0.684508,1.83188
0.679135,1.73707
0.671891,1.61763
0.66819,1.55904
0.660418,1.4398
0.656169,1.38162
0.650133,1.29763
0.645915,1.24052
0.639334,1.15758
0.634945,1.10602
0.627996,1.02697
0.623375,0.976319
0.616112,0.899713
0.61134,0.85148
0.606193,0.803906
0.601081,0.757019
0.595802,0.710859
0.590516,0.665856
0.584993,0.622648
0.582338,0.603218
0.573645,0.539393
0.570795,0.518859
0.564837,0.480856
0.558755,0.442176
0.552375,0.406085
0.549085,0.388166
0.54294,0.354445
0.536484,0.322452
0.532878,0.30725
0.526097,0.277777
0.522736,0.263527
0.51588,0.237071
0.512457,0.225042
0.505155,0.199994
0.501685,0.189043
0.493908,0.166714
0.490155,0.15771
0.486588,0.147524
0.47859,0.129591
0.474792,0.120871
0.470715,0.112451
0.462591,0.0978175
0.458031,0.0908404
0.454037,0.0844574
0.450177,0.0783013
0.441292,0.0670576
0.4368,0.0619394
0.432504,0.0569469
0.428399,0.0523598
0.424292,0.0486518
0.415126,0.0407256
0.4106,0.037915
0.406005,0.0346567
0.40139,0.0313457
0.396477,0.0287619
0.392101,0.0263335
0.387338,0.0241551
0.377931,0.0200304
0.378174,0.0202573
0.369038,0.0168215
0.364336,0.0152017
0.359368,0.0134118
0.354772,0.0122679
0.350038,0.0112817
0.345109,0.0100747
0.340151,0.00913287
0.335884,0.00849679
0.326409,0.00664874
0.326523,0.00663148
0.316292,0.00529261
0.311412,0.00472797
0.307019,0.00425803
0.307064,0.00415447
0.297251,0.00326929
0.292448,0.00286245
0.28785,0.00269332
0.282754,0.00251826
0.277971,0.00197334
0.268389,0.00131847
0.26839,0.00134066
0.263618,0.00134806
0.258713,0.00129628
0.249829,0.000906699
0.24952,0.000953547
0.238411,0.00074743
0.238866,0.000870714
0.228587,0.000403235
0.228265,0.000455014
0.218072,6.79018E-5
0.218194,0.000210911
0.207458,0.000169995
0.207657,0.000248897
0.197746,0.000236568
0.197923,0.00020698
