#ID:	4
#type:	Stressing
#start_time:	16/04/2025 17.41.05
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#wait_duration:	1 min
#point_rate:	2 1/s
#point_spacing:	0 linear
#setpoint:	Inf W
##Sample holder climate : temperature:	[34.779,36.886] °C
##Sample holder climate : relative humidity:	[31.739,30.744] %
##IR temperature [0]:	[44.35,46.49] °C
##Stage temperature:	[51.4341,54.4878] °C
##Light intensity:	[100,100] %
#Power:	-0.143619 mW
#Current:	-0.415842 mA
#Voltage:	0.34537 V
#
#time (s),Voltage (V),current (mA),Power (mW),PCE (%)
1.10255,0.501897,0.0425854,0.0213735,0.085494
1.63487,0.469797,-0.116735,-0.0548416,0.219366
2.14794,0.430935,-0.257503,-0.110967,0.443869
2.67891,0.392007,-0.35153,-0.137802,0.551209
3.19546,0.350288,-0.417978,-0.146413,0.585651
3.71821,0.306693,-0.462214,-0.141758,0.567032
4.23606,0.328947,-0.442611,-0.145595,0.582381
4.76529,0.354386,-0.412773,-0.146281,0.585123
5.28828,0.383949,-0.366397,-0.140678,0.562711
5.81485,0.371944,-0.38754,-0.144143,0.576573
6.33655,0.350427,-0.41783,-0.146419,0.585676
6.86844,0.328878,-0.442182,-0.145424,0.581696
7.39285,0.341675,-0.427897,-0.146202,0.584807
7.92096,0.354342,-0.412226,-0.146069,0.584276
8.44564,0.34611,-0.422223,-0.146136,0.584542
8.97984,0.337601,-0.432392,-0.145976,0.583904
9.51493,0.341734,-0.427993,-0.14626,0.585039
10.043,0.346,-0.422534,-0.146197,0.584786
10.5635,0.346194,-0.422127,-0.146138,0.584551
11.0899,0.346013,-0.422309,-0.146124,0.584498
11.6131,0.345733,-0.422571,-0.146097,0.584387
12.1429,0.345885,-0.422073,-0.145989,0.583954
12.654,0.345839,-0.421774,-0.145866,0.583463
13.1784,0.34592,-0.422258,-0.146067,0.584269
13.7043,0.346043,-0.421629,-0.145902,0.583607
14.2261,0.34604,-0.421604,-0.145892,0.583567
14.7494,0.345967,-0.421629,-0.14587,0.583478
15.2811,0.346044,-0.421128,-0.145729,0.582916
15.8047,0.34615,-0.421086,-0.145759,0.583036
16.3311,0.346188,-0.421607,-0.145955,0.58382
16.8528,0.345893,-0.421639,-0.145842,0.583367
17.3712,0.346074,-0.421385,-0.14583,0.583321
17.8937,0.346209,-0.420741,-0.145665,0.582658
18.427,0.346249,-0.420574,-0.145623,0.582493
18.9544,0.345674,-0.420448,-0.145338,0.581352
19.4761,0.346254,-0.421017,-0.145779,0.583115
20.002,0.346143,-0.420702,-0.145623,0.582491
20.521,0.345933,-0.420869,-0.145593,0.58237
21.0544,0.346023,-0.42082,-0.145613,0.582453
21.5858,0.346142,-0.420551,-0.145571,0.582282
22.1134,0.345881,-0.420643,-0.145492,0.58197
22.6406,0.345972,-0.420189,-0.145374,0.581495
23.1488,0.34589,-0.420226,-0.145352,0.581407
23.6731,0.345851,-0.420648,-0.145481,0.581926
24.1899,0.346046,-0.420598,-0.145546,0.582185
24.7203,0.34574,-0.420431,-0.14536,0.581439
