#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 16.48.02
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.627,35.187] °C
##Sample holder climate : relative humidity:	[38.428,33.845] %
##IR temperature [0]:	[23.33,46.49] °C
##Stage temperature:	[21.4165,53.7755] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.0767,50.0616
1.0753,50.0301
1.07461,50.0386
1.07414,50.038
1.0737,50.0375
1.07342,50.0461
1.07314,50.0487
1.07284,50.0485
1.07264,50.0542
1.07236,50.0522
1.07214,50.0539
1.07193,50.055
1.0717,50.0593
1.0715,50.0582
1.07131,50.0611
1.0711,50.0648
1.07089,50.0629
1.07072,50.0684
1.07056,50.0681
1.07041,50.0688
1.07023,50.0693
1.07006,50.0736
1.06987,50.0749
1.06972,50.0761
1.06954,50.0761
1.06943,50.0787
1.06926,50.0784
1.06913,50.0801
1.06899,50.0821
1.06884,50.0814
1.06869,50.0828
1.06856,50.0839
1.06845,50.0859
1.0683,50.0863
1.06784,49.9997
1.06706,49.8227
1.06612,49.6047
1.06474,49.2541
1.06313,48.8562
1.06106,48.3279
1.05543,46.8449
1.04918,45.2339
1.04304,43.6577
1.03668,42.0626
1.02983,40.3585
1.02272,38.6427
1.01565,36.9752
1.0081,35.2431
1.00013,33.464
0.992093,31.7269
0.98362,29.9505
0.974276,28.0791
0.964946,26.2751
0.955003,24.4462
0.944612,22.6176
0.933405,20.7677
0.922175,19.0174
0.909588,17.1963
0.896279,15.4163
0.882659,13.7422
0.867427,12.0556
0.851699,10.5018
0.834293,8.98801
0.815665,7.58893
0.79422,6.23662
0.771319,5.04019
0.74585,3.97324
0.726827,3.30982
0.717559,3.02092
0.716483,2.98353
0.711624,2.84435
0.705231,2.66796
0.698631,2.49979
0.68878,2.26262
0.679909,2.06572
0.668982,1.83796
0.659021,1.64746
0.646844,1.43454
0.636031,1.25919
0.624454,1.08575
0.614647,0.949266
0.601898,0.788697
0.590891,0.659485
0.579154,0.535261
0.56978,0.441512
0.557175,0.327946
0.547077,0.2424
0.53624,0.161226
0.525172,0.0834387
0.513425,0.00946408
0.504226,-0.042521
0.491684,-0.108108
0.482039,-0.152877
0.472046,-0.194317
0.461492,-0.234919
0.450873,-0.26988
0.439588,-0.303363
0.428085,-0.334062
0.420622,-0.35181
0.408705,-0.377516
0.396405,-0.400903
0.388225,-0.414668
0.379993,-0.426639
0.366574,-0.44517
0.357503,-0.456048
0.348386,-0.46552
0.339173,-0.47487
0.325271,-0.486934
0.316234,-0.493616
0.311457,-0.496454
0.296998,-0.50568
0.287511,-0.511041
0.272756,-0.518175
0.267879,-0.519892
0.258947,-0.523914
0.244108,-0.52985
0.239155,-0.531423
0.224566,-0.535888
0.219692,-0.537419
0.205167,-0.541358
0.200243,-0.542536
0.185326,-0.54616
0.175392,-0.548451
0.165524,-0.55057
0.160967,-0.551246
0.146046,-0.553964
0.136551,-0.555809
0.12638,-0.557272
0.116613,-0.559119
0.106961,-0.560558
0.0964757,-0.561981
0.08674,-0.56358
0.0772099,-0.564899
0.0670164,-0.566082
0.0573551,-0.567371
0.0429488,-0.569219
0.0379445,-0.569848
0.0286793,-0.571346
0.0142309,-0.57306
0.0095053,-0.573567
-0.00454714,-0.575108
-0.0139956,-0.576261
-0.023756,-0.577195
-0.0332785,-0.578565
-0.0424892,-0.57933
-0.0523227,-0.580539
-0.061774,-0.581277
-0.0757161,-0.58291
-0.0858008,-0.583953
-0.0906506,-0.584591
-0.105176,-0.586213
-0.114436,-0.58694
-0.124439,-0.587847
-0.134046,-0.589101
-0.143062,-0.589666
-0.152914,-0.590932
-0.167645,-0.592111
-0.172487,-0.592356
-0.181636,-0.593426
-0.19596,-0.595085
-0.206073,-0.595987
NaN,NaN
-0.196118,-0.594745
-0.19148,-0.594126
-0.181806,-0.592985
-0.167287,-0.591373
-0.162758,-0.590769
-0.148033,-0.589111
-0.138751,-0.587989
-0.133724,-0.587516
-0.119472,-0.585579
-0.110036,-0.58441
-0.100184,-0.583405
-0.0908222,-0.581982
-0.0813148,-0.580706
-0.0670932,-0.579215
-0.062396,-0.578591
-0.0479187,-0.576669
-0.0428106,-0.575806
-0.0288425,-0.574138
-0.0191193,-0.572728
-0.014215,-0.572067
-0.000255696,-0.570445
0.0140408,-0.568282
0.0187847,-0.567675
0.0282893,-0.566336
0.0427416,-0.564273
0.0472247,-0.563551
0.0616851,-0.561059
0.0662103,-0.560423
0.0808937,-0.558306
0.0913084,-0.556643
0.101289,-0.554914
0.111042,-0.553209
0.120809,-0.551446
0.13101,-0.549223
0.135511,-0.548562
0.150276,-0.545904
0.159662,-0.543388
0.16971,-0.540781
0.184535,-0.537109
0.18936,-0.536026
0.19914,-0.533421
0.209021,-0.530585
0.2234,-0.526067
0.228218,-0.524508
0.238121,-0.52067
0.25262,-0.514534
0.262028,-0.510377
0.26688,-0.507926
0.281508,-0.500197
0.291007,-0.494315
0.300627,-0.488531
0.30991,-0.480934
0.319201,-0.473624
0.328476,-0.465063
0.341911,-0.451136
0.351167,-0.441022
0.36009,-0.430018
0.368921,-0.417014
0.377783,-0.403518
0.390099,-0.382122
0.398008,-0.366304
0.410034,-0.34028
0.417483,-0.321854
0.429027,-0.290676
0.436477,-0.268207
0.447053,-0.232556
0.457736,-0.194617
0.467914,-0.152323
0.4744,-0.123646
0.487273,-0.0598612
0.493279,-0.0273497
0.505368,0.0419395
0.51417,0.0987711
0.522551,0.157687
0.533342,0.238601
0.541218,0.30244
0.55111,0.38792
0.560951,0.482579
0.570369,0.57724
0.579778,0.675864
0.590832,0.806268
0.599343,0.911829
0.607503,1.02101
0.61742,1.16122
0.626881,1.3038
0.636011,1.45286
0.644803,1.6061
0.653136,1.75805
0.661115,1.91647
0.670591,2.11016
0.679294,2.30765
0.686425,2.47867
0.695751,2.71693
0.703528,2.92728
0.712,3.17521
0.720096,3.4283
0.727693,3.68035
0.736013,3.97752
0.7438,4.27579
0.751168,4.57689
0.759199,4.92778
0.766672,5.27994
0.773782,5.63144
0.781448,6.03358
0.789178,6.47623
0.796654,6.92645
0.803661,7.38099
0.810889,7.87576
0.81765,8.36761
0.824648,8.90396
0.841607,10.3175
0.85612,11.696
0.869369,13.0885
0.880909,14.416
0.891348,15.7089
0.901691,17.0785
0.911493,18.4664
0.920317,19.7887
0.928932,21.1434
0.937159,22.501
0.945107,23.8702
0.95291,25.276
0.960575,26.6959
0.967851,28.1043
0.975177,29.5671
0.982342,31.0449
0.989133,32.4971
0.996114,34.0312
1.00304,35.5869
1.00973,37.1347
1.01618,38.6672
1.02307,40.3354
1.02993,42.0447
1.03637,43.6847
1.04299,45.4017
1.04954,47.1445
1.05611,48.9366
1.06055,50.1805
1.06026,50.1789
1.06006,50.1794
1.05992,50.1843
1.05978,50.1831
1.05964,50.1849
1.05956,50.1852
1.05945,50.1844
1.05935,50.1888
1.0592,50.1883
1.0591,50.1886
1.05901,50.1868
1.05892,50.1891
1.05881,50.1872
1.05876,50.1822
1.05867,50.1855
1.05856,50.1826
1.05847,50.1838
1.05839,50.1862
1.05831,50.1886
1.05825,50.1876
1.05816,50.1875
1.05808,50.189
1.05801,50.1898
1.05794,50.1892
1.05788,50.1893
NaN,NaN
