#ID:	3
#type:	Perform parallel JV
#start_time:	16/04/2025 16.48.02
#
# Parameters
#Sample area:	0.25 cm²
#Comment:	  
#Resolution of the measurement unit:	10 (higher better/slower)
#start_voltage:	-0.2 V
#stop_voltage:	1.4 V
#Scan rate:	10 mV/s
#settling_time:	10 ms
#direction:	3 0=forward,1=backward,2=for- & backward,3=back- & forward
##Sample holder climate : temperature:	[21.627,35.187] °C
##Sample holder climate : relative humidity:	[38.428,33.845] %
##IR temperature [0]:	[23.33,46.49] °C
##Stage temperature:	[21.4165,53.7755] °C
##Light intensity:	[100,100] %
#
#voltage (V),current (mA)
1.09053,49.9856
1.08926,49.9963
1.08851,49.9997
1.08797,50.0065
1.08761,50.0077
1.08728,50.0106
1.087,50.0113
1.08674,50.0125
1.0865,50.0116
1.08629,50.0173
1.08612,50.0201
1.08588,50.0212
1.08569,50.0184
1.08553,50.0223
1.08536,50.0255
1.08516,50.0271
1.08497,50.0239
1.08484,50.0247
1.0847,50.0305
1.0845,50.0256
1.08441,50.031
1.08424,50.0295
1.08406,50.03
1.08389,50.0274
1.08377,50.0287
1.08363,50.0303
1.08352,50.0381
1.0834,50.0361
1.08327,50.0395
1.08317,50.0424
1.08304,50.0432
1.08296,50.0435
1.08264,50.0011
1.08219,49.911
1.0812,49.6893
1.07986,49.3738
1.07842,49.0185
1.0766,48.5698
1.07445,48.0338
1.06825,46.4838
1.06154,44.8278
1.05514,43.2648
1.04832,41.6197
1.04114,39.9211
1.03384,38.2316
1.02611,36.4921
1.01818,34.7486
1.01018,33.0421
1.00161,31.2692
0.992596,29.4792
0.983092,27.6525
0.973436,25.8628
0.963309,24.0782
0.952348,22.2354
0.941233,20.4701
0.929907,18.7772
0.916734,16.9324
0.903204,15.1911
0.889645,13.5746
0.874295,11.9227
0.858101,10.3546
0.840954,8.8966
0.82204,7.50022
0.801078,6.18874
0.77887,5.02757
0.754438,3.99949
0.736739,3.37391
0.728913,3.12314
0.725526,3.01685
0.722068,2.9109
0.715792,2.73953
0.709179,2.56763
0.699665,2.3336
0.691046,2.13823
0.68043,1.91641
0.66917,1.69779
0.657068,1.48647
0.646299,1.3142
0.634943,1.14428
0.625031,1.00723
0.612628,0.852227
0.601238,0.718088
0.589874,0.595643
0.577573,0.474674
0.567626,0.383366
0.557144,0.295773
0.54629,0.210313
0.535129,0.131383
0.523263,0.0541003
0.514233,-0.000188735
0.501779,-0.0678806
0.491934,-0.116048
0.482053,-0.160952
0.471492,-0.203243
0.460769,-0.242562
0.450017,-0.277523
0.438523,-0.311327
0.431071,-0.331535
0.41966,-0.358849
0.40687,-0.385949
0.398885,-0.400718
0.385906,-0.423162
0.377131,-0.436033
0.368394,-0.447611
0.359332,-0.458674
0.350085,-0.469305
0.336625,-0.482859
0.327212,-0.490867
0.317982,-0.498165
0.304127,-0.508165
0.29922,-0.511166
0.284727,-0.519351
0.280012,-0.521861
0.265626,-0.528818
0.255918,-0.533308
0.246351,-0.536877
0.236652,-0.540164
0.226949,-0.543457
0.217295,-0.546603
0.207953,-0.549112
0.197587,-0.551586
0.187899,-0.55421
0.177864,-0.556563
0.163236,-0.559878
0.158389,-0.56064
0.148448,-0.562792
0.133716,-0.565314
0.12858,-0.566235
0.11871,-0.567798
0.103549,-0.570248
